Order_ID,Order_Date,Shipment_ID,Shipment_Date,Tax_Calculated_Date (UTC),Posted_Date,Marketplace,Merchant_ID,Fulfillment,ASIN,SKU,Transaction_Type,Tax_Collection_Model,Tax_Collection_Responsible_Party,Product_Tax_Code,Quantity,Currency,Buyer_Exemption_Code,Buyer_Exemption_Domain,Buyer_Exemption_Certificate_Id,Display_Price,Display_Price_Tax_Inclusive,TaxExclusive_Selling_Price,Total_Tax,Total_Tax_Collected_By_Amazon,Financial_Component,Ship_From_City,Ship_From_State,Ship_From_Country,Ship_From_Postal_Code,Ship_From_Tax_Location_Code,Ship_To_City,Ship_To_State,Ship_To_Country,Ship_To_Postal_Code,Ship_To_Location_Code,Taxed_Location_Code,Tax_Address_Role,Jurisdiction_Level,Jurisdiction_Name,Display_Promo_Amount,Display_Promo_Tax_Inclusive,isPromoApplied,postPromoTaxableBasis,prePromoTaxableBasis,Promo_Amount_Basis,Promo_ID_Domain,promoAmountTax,Promotion_Identifier,Promo_Rule_Reason_Code,Promo_Tax_Price_Type,Tax_Amount,Tax_Amount_Collected_By_Amazon,Taxed_Jurisdiction_Tax_Rate,Tax_Category,Tax_Type,Tax_Calculation_Reason_Code,NonTaxable_Amount,Taxable_Amount
111-7570316-7045800,2024-07-17+00:00,GHmTzWZCT,2024-08-01+00:00,2024-07-31+13:33:06,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,0.0,4.1,OUR_PRICE,Baltimore,MD,US,21224,215100040.0,ELIZABETHTOWN,PA,US,17022-9057,390430000.0,390430000.0,ShipTo,State,PA,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,4.1,0.06,Tax,Sales and Use Tax,Taxable,0.0,68.35
111-7570316-7045800,2024-07-17+00:00,GHmTzWZCT,2024-08-01+00:00,2024-07-31+13:33:06,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,Baltimore,MD,US,21224,215100040.0,ELIZABETHTOWN,PA,US,17022-9057,390430000.0,390430000.0,ShipTo,City,NOT APPLICABLE,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,68.35,0.0
111-7570316-7045800,2024-07-17+00:00,GHmTzWZCT,2024-08-01+00:00,2024-07-31+13:33:06,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,Baltimore,MD,US,21224,215100040.0,ELIZABETHTOWN,PA,US,17022-9057,390430000.0,390430000.0,ShipTo,County,NOT APPLICABLE,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,68.35,0.0
111-7570316-7045800,2024-07-17+00:00,GHmTzWZCT,2024-08-01+00:00,2024-07-31+13:33:06,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,Baltimore,MD,US,21224,215100040.0,ELIZABETHTOWN,PA,US,17022-9057,390430000.0,390430000.0,ShipTo,District,NOT APPLICABLE,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,68.35,0.0
114-2289809-5477818,2024-07-25+00:00,G789hpWGT,2024-08-01+00:00,2024-07-31+17:43:15,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B09R44C72Q,GLMP-3,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,29.95,0.0,29.95,0.0,1.74,OUR_PRICE,Dallas,TX,US,75261-4034,441130000.0,VAIL,AZ,US,85641-2262,30190000.0,30190000.0,ShipTo,State,AZ,,,Y,0.0,0.0,-1.5,PromotionIdAndCouponCode,0.0,794972911.0,Self Funded,ReductionInTaxableBasis,,1.6,0.056,Tax,Transaction Privilege and Use Tax,Taxable,0.0,28.45
114-2289809-5477818,2024-07-25+00:00,G789hpWGT,2024-08-01+00:00,2024-07-31+17:43:15,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B09R44C72Q,GLMP-3,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,29.95,0.0,29.95,,,OUR_PRICE,Dallas,TX,US,75261-4034,441130000.0,VAIL,AZ,US,85641-2262,30190000.0,30190000.0,ShipTo,City,NOT APPLICABLE,,,Y,0.0,0.0,-1.5,PromotionIdAndCouponCode,0.0,794972911.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,28.45,0.0
114-2289809-5477818,2024-07-25+00:00,G789hpWGT,2024-08-01+00:00,2024-07-31+17:43:15,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B09R44C72Q,GLMP-3,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,29.95,0.0,29.95,,,OUR_PRICE,Dallas,TX,US,75261-4034,441130000.0,VAIL,AZ,US,85641-2262,30190000.0,30190000.0,ShipTo,County,PIMA,,,Y,0.0,0.0,-1.5,PromotionIdAndCouponCode,0.0,794972911.0,Self Funded,ReductionInTaxableBasis,,0.14,0.005,Tax,Local Transaction Privilege Tax,Taxable,0.0,28.45
114-2289809-5477818,2024-07-25+00:00,G789hpWGT,2024-08-01+00:00,2024-07-31+17:43:15,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B09R44C72Q,GLMP-3,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,29.95,0.0,29.95,,,OUR_PRICE,Dallas,TX,US,75261-4034,441130000.0,VAIL,AZ,US,85641-2262,30190000.0,30190000.0,ShipTo,District,NOT APPLICABLE,,,Y,0.0,0.0,-1.5,PromotionIdAndCouponCode,0.0,794972911.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,28.45,0.0
111-8266964-8954647,2024-07-29+00:00,GsPpf9zjT,2024-08-01+00:00,2024-07-31+19:14:53,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B077TT3HH9,693554602617,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,41.95,0.0,41.95,0.0,3.41,OUR_PRICE,GOODYEAR,AZ,US,85338,30130983.0,BLOOMFIELD,NM,US,87413-6625,320450400.0,320450400.0,ShipTo,State,NM,,,,,,,,,,,,,2.05,0.04875,Tax,Gross Receipts and Compensating Tax,Taxable,0.0,41.95
111-8266964-8954647,2024-07-29+00:00,GsPpf9zjT,2024-08-01+00:00,2024-07-31+19:14:53,2024-08-01+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B077TT3HH9,693554602617,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,41.95,0.0,41.95,,,OUR_PRICE,GOODYEAR,AZ,US,85338,30130983.0,BLOOMFIELD,NM,US,87413-6625,320450400.0,320450400.0,ShipTo,City,BLOOMFIELD,,,,,,,,,,,,,0.84,0.02,Tax,Local Gross Receipts Tax,Taxable,0.0,41.95
